green tea b4 work, 🍒 Food, 30.0
lunch @ big c, 🍒 Food, 70.0
nahm keng sai, 🍒 Food, 50.0
grab to airport, 🚗 Transport, 510.0
grab subscription, 👻 Miscellaneous, 19.0
grab: pizza to ryan house, 🍒 Food, 583.0
grab back from ryan house, 🚗 Transport, 161.0
grab from yaowarat to house, 🚗 Transport, 129.0
grab: post high lunch w mazi gang, 🍒 Food, 406.0
grab: kfc w mazi gang, 🍒 Food, 156.0
re-entry, 👻 Miscellaneous, 1200.0
snacks from mac, 🍒 Food, 96.0
kaya toast @ sg, 🍒 Food, 140.0
drink from mnl airport, 🍒 Food, 45.0
grab back to condo, 🚗 Transport, 234.0
grab to meet ryan @ hustlers, 🚗 Transport, 40.0
blended thai tea, 🍒 Food, 30.0
bike to vb, 🚗 Transport, 122.0
vb rental, 🎉 Fun, 185.0
yaowarat share. was so fun! my fav so far <3, 🎉 Fun, 558.0
post high coffee, 🍒 Food, 45.0
711 run - water+bfast, 🍒 Food, 100.0
blended thai tea, 🍒 Food, 30.0
weed, 🎉 Fun, 433.0
lunch, 🍒 Food, 89.0
bts fare, 🚗 Transport, 62.0
coffee, 🍒 Food, 55.0
eveandboy - lotion+soap+biooil, 👻 Miscellaneous, 690.0
bts fare, 🚗 Transport, 32.0
groceries - papaya+apple+greentea, 🏫 Groceries, 299.0
green tea b4 work, 🍒 Food, 30.0
lunch, 🍒 Food, 60.0
bellinees matcha, 🍒 Food, 40.0
photobooth, 🎉 Fun, 100.0
lime smoothie, 🍒 Food, 35.0
bolt to badminton place, 🚗 Transport, 80.0
badminton rental, 🎉 Fun, 88.0
post bmt snack: salted egg lava cakes, 🍒 Food, 100.0
green tea b4 work, 🍒 Food, 30.0
lunch: pad see ew yums, 🍒 Food, 60.0
snacks: bbq(10)+egg(30), 🍒 Food, 40.0
pasalubong - inhalers+chewy candy, 🏫 Groceries, 415.0
new shirt, 🛍️ Shopping, 100.0
dinner w farah! nice catch up hehe, 🍒 Food, 428.0
big c groceries - mango+squid snack+toothpaste, 🏫 Groceries, 335.0
711 run - laundry stuff+protein drink+tissue roll, 🏫 Groceries, 210.0
sukiyaki lunch! yums, 🍒 Food, 65.0
matcha latte, 🍒 Food, 40.0
mama sal coffee, 👻 Miscellaneous, 256.0
coffee, 🍒 Food, 20.0
pinas: meet shar, 👻 Miscellaneous, 830.0
grab from vb, 🚗 Transport, 118.0
grab back home from airport, 🚗 Transport, 312.0
grab from bmt, 🚗 Transport, 118.0
grab lunch, 🍒 Food, 112.0
bolt to vb, 🚗 Transport, 189.0
vb rental, 🎉 Fun, 185.0
vb pizza, 🍒 Food, 100.0
grab to airport, 🚗 Transport, 259.0
sharysse prunes, 👻 Miscellaneous, 116.0
visa re entry, 👻 Miscellaneous, 1200.0
grab to bmt, 🚗 Transport, 86.0
bmt rental, 🎉 Fun, 119.0
grab back from bmt, 🚗 Transport, 118.0
usb c wire, 👻 Miscellaneous, 139.0
711 run - coffee+soy milk, 🍒 Food, 60.0
lunch, 🍒 Food, 65.0
coffee, 🍒 Food, 37.0
oil cleanser, 🛍️ Shopping, 399.0
lunch, 🍒 Food, 65.0
matcha latte, 🍒 Food, 40.0
pumpkin, 🍒 Food, 15.0
bike to work, 🚗 Transport, 30.0
lunch, 🍒 Food, 65.0
matcha latte, 🍒 Food, 80.0
bike to bar, 🚗 Transport, 40.0
bar w ryan, 🎉 Fun, 1459.0
lunch, 🍒 Food, 130.0
grab to route66, 🚗 Transport, 37.0
route66 entrance, 🎉 Fun, 300.0
ice, 🎉 Fun, 100.0
grab back home from club, 🚗 Transport, 44.0
drinks at club, 🎉 Fun, 290.0
kfc dinner, 🍒 Food, 39.0
lime drink, 🍒 Food, 25.0
mug p tonkao, 👻 Miscellaneous, 79.0
hoi tot, 🍒 Food, 120.0
plain cracker, 🍒 Food, 25.0
forgot, 🍒 Food, 50.0
paint vase, 🎉 Fun, 60.0
nahm keng sai, 🍒 Food, 40.0
guava, 🍒 Food, 100.0
souvenir for friends, 👻 Miscellaneous, 400.0
water, 🍒 Food, 10.0
mango, 🍒 Food, 40.0
board game cafe, 🎉 Fun, 235.0
dinner at banthatong w vekin priends <3, 🍒 Food, 95.0
lunch, 🍒 Food, 79.0
matcha latte, 🍒 Food, 40.0
contacts, 👻 Miscellaneous, 950.0
grab to bmt, 🚗 Transport, 90.0
bmt rental, 🎉 Fun, 40.0
mookata w the gr8est ppl ever :D, 🍒 Food, 165.0
grab to work, 🚗 Transport, 30.0
check, 👻 Miscellaneous, 0.0
lunch at fortune!, 🍒 Food, 60.0
thai tea, 🍒 Food, 45.0
lotus run: flowers+laundry soap, 🏫 Groceries, 126.0
suki for lunch (yums!), 🍒 Food, 65.0
matcha latte (thank you p'tonkao), 🍒 Food, 0.0
grab to vb, 🚗 Transport, 118.0
vb rental, 🎉 Fun, 195.0
grab back from vb, 🚗 Transport, 99.0
