ice coffee b4 work, 🍒 Food, 50.0
crispy pork belly rice , 🍒 Food, 65.0
strawberry smoothie, 🍒 Food, 70.0
train fare to centralworld, 🚗 Transport, 40.0
toll, 🚗 Transport, 20.0
coffee w nerd!, 🍒 Food, 49.0
nakla mookata, 🍒 Food, 200.0
bts to sukhumvit, 🚗 Transport, 32.0
water, 🍒 Food, 10.0
7/11 pad n choco, 🏫 Groceries, 17.0
vitamins+groceries, 🏫 Groceries, 628.0
lunch @ sizzler! yums, 🍒 Food, 239.0
lunch @ boat noodle, 🍒 Food, 120.0
castella tea, 🍒 Food, 40.0
biscuit, 🍒 Food, 5.0
tops groceries-yakult+digestive+chia, 🏫 Groceries, 273.0
7/11 run-bread+3proteinshake+mango+candy, 🏫 Groceries, 201.0
matcha latte b4 work, 🍒 Food, 60.0
shrimp+pork dumpling, 🍒 Food, 60.0
avocado shake, 🍒 Food, 55.0
lunch sichuan noodles, 🍒 Food, 65.0
kamu drinks(treat p'tonkao!), 🍒 Food, 70.0
healthy dinner!, 🍒 Food, 50.0
dinner w sg interns @ jeh-o!, 🍒 Food, 570.0
ya kun bfast, 🍒 Food, 155.0
bts train, 🚗 Transport, 32.0
lunch @ chu cafe, 🍒 Food, 551.0
strawberry yogurt, 🍒 Food, 45.0
groceries, 🏫 Groceries, 341.0
muji pens, 🛍️ Shopping, 58.0
atm card, 👻 Miscellaneous, 300.0
tissues, 🏫 Groceries, 29.0
dessert toast, 🍒 Food, 65.0
boat noodles, 🍒 Food, 75.0
matcha latte, 🍒 Food, 70.0
banana cue snack, 🍒 Food, 20.0
groceries, 🏫 Groceries, 258.0
lunch, 🍒 Food, 60.0
dirty ice cream! (thai version), 🍒 Food, 20.0
lunch @ yakiniku, 🍒 Food, 204.0
sausage snack, 🍒 Food, 32.0
bread, 🏫 Groceries, 25.0
lunch, 🍒 Food, 65.0
ice cream buy 1 get free!, 🍒 Food, 20.0
7/11 snack, 🍒 Food, 6.0
matcha latte b4 work LOCKED IN , 🍒 Food, 60.0
chicken rice lunch , 🍒 Food, 50.0
bts fares, 🚗 Transport, 64.0
stonegoat 3 day pass, 🎉 Fun, 750.0
dinner filled w laughter :D, 🍒 Food, 161.0
groceries-water+milks+papaya, 🏫 Groceries, 227.0
grab lunch , 🍒 Food, 262.0
grab to tofu, 🚗 Transport, 101.0
skincare shopping , 🛍️ Shopping, 118.0
grab back , 🚗 Transport, 203.0
dinner yumz, 🍒 Food, 509.0
7/11 run, 🏫 Groceries, 100.0
lunch , 🍒 Food, 65.0
ice green tea, 🍒 Food, 25.0
pineapples, 🍒 Food, 25.0
lunch, 🍒 Food, 50.0
snacks lol, 🍒 Food, 40.0
drink from ochaya, 🍒 Food, 50.0
groceries-veggies+yogurt+milk+pasta, 🏫 Groceries, 579.0
check, 👻 Miscellaneous, 0.0
pepper lunch, 🍒 Food, 190.0
7/11 run for cooking stuff, 🏫 Groceries, 48.0
ice cream w nerd!, 🍒 Food, 25.0
7/11 tiger coffee(actually p. good), 🍒 Food, 18.0
lunch, 🍒 Food, 110.0
pineapplesss, 🍒 Food, 30.0
pad thai w/o noodles, 🍒 Food, 40.0
coffee b4 work, 🍒 Food, 18.0
lunch , 🍒 Food, 115.0
sweet potato ball snack, 🍒 Food, 20.0
mrt fares, 🚗 Transport, 52.0
dinner, 🍒 Food, 80.0
7/11 snacks, 🍒 Food, 30.0
grab back, 🚗 Transport, 178.0
7/11 run for pattaya, 🏫 Groceries, 288.0
grab to bang na mrt, 🚗 Transport, 122.0
check, 👻 Miscellaneous, 0.0
mango smoothie, 🍒 Food, 60.0
mango shake @ some cafe, 🍒 Food, 60.0
nail remover , 👻 Miscellaneous, 29.0
lotus-banana+noodle, 🏫 Groceries, 58.0
7/11 run-protein milk+toneup+ritz+candy, 🏫 Groceries, 220.0
matcha b4 work, 🍒 Food, 60.0
lunch @ boat noods, 🍒 Food, 122.0
pattaya trip!, 🎉 Fun, 3224.0
lunch, 🍒 Food, 50.0
bellinee's drink! , 🍒 Food, 37.5
red bean bun in the morn, 🍒 Food, 15.0
blu-fah latte, 🍒 Food, 50.0
gift for P'Ung, 👻 Miscellaneous, 1400.0
lunch, 🍒 Food, 70.0
melon snack, 🍒 Food, 25.0
dinner with oep people!, 🍒 Food, 200.0
snacks , 🍒 Food, 100.0
top up mrt card, 🚗 Transport, 100.0
grab to terminal21, 🚗 Transport, 70.0
meiji milk , 🍒 Food, 13.0
jelly snack, 🍒 Food, 10.0
taco bell , 🍒 Food, 350.0
grab back , 🚗 Transport, 50.0
grab lunch, 🍒 Food, 130.0
protein shake, 🍒 Food, 49.0
taobin beverage, 🍒 Food, 55.0
supper w farah! , 🍒 Food, 140.0
yogurt, 🏫 Groceries, 135.0
contacts, 🛍️ Shopping, 600.0
mango smoothie @ chatuchak, 🍒 Food, 60.0
berry smoothie, 🍒 Food, 40.0
filled buns, 🍒 Food, 38.0
bts fares, 🚗 Transport, 64.0
bfast, 🍒 Food, 73.0
stuffed omelette lunch , 🍒 Food, 50.0
kamu, 🍒 Food, 49.0
7/11 bfast-sandwich+soyamilk, 🍒 Food, 49.0
boat noodle lunch , 🍒 Food, 65.0
check, 👻 Miscellaneous, 0.0
