grab to badminton , 🚗 Transport, 100.0
badminton rental, 🎉 Fun, 100.0
supper, 🍒 Food, 60.0
dessert+drinks-40+40, 🍒 Food, 80.0
grab to work, 🚗 Transport, 27.0
ice americano, 🍒 Food, 50.0
vekin blanket! (very cutes), 🛍️ Shopping, 187.0
shopee run for hua hin trip-cap+shirt+clip, 🛍️ Shopping, 300.0
lunch, 🍒 Food, 60.0
grab back from work, 🚗 Transport, 40.0
grab to virgin active, 🚗 Transport, 114.0
vb court rental, 🎉 Fun, 180.0
711 run-dinner+protein drinks, 🏫 Groceries, 203.0
grab back home, 🚗 Transport, 111.0
coffee b4 work, 🍒 Food, 25.0
omelette for lunch, 🍒 Food, 55.0
hoi tod, 🍒 Food, 65.0
snack that looks like puto!, 🍒 Food, 40.0
dinner, 🍒 Food, 40.0
lunch, 🍒 Food, 65.0
hojicha twist, 🍒 Food, 50.0
bolt to vb place, 🚗 Transport, 139.0
bolt back home, 🚗 Transport, 94.0
chicken rice, 🍒 Food, 45.0
vb court rental, 🎉 Fun, 200.0
hua hin trip w/o ocbc expenses, 🎉 Fun, 2605.0
hua hin trip ocbc expenses, 🎉 Fun, 416.0
grab food-five star, 🍒 Food, 80.0
coffee b4 work, 🍒 Food, 25.0
marathon sign up, 🎉 Fun, 1000.0
lunch-big c caifan, 🍒 Food, 75.0
snacks-papaya+croissant(thank you p tonkao<3), 🍒 Food, 0.0
chicken rice dinner, 🍒 Food, 45.0
banana milkshake, 🍒 Food, 40.0
groceries-yogurt+banana+detergent+apples+walnut, 🏫 Groceries, 450.0
lunch-big c noodles, 🍒 Food, 60.0
grass jelly drink, 🍒 Food, 30.0
711 thin biscuit snack, 🍒 Food, 10.0
fishball snack, 🍒 Food, 20.0
grab to vb, 🚗 Transport, 103.0
vb court rental, 🎉 Fun, 180.0
mrt top up, 🚗 Transport, 200.0
bts fare, 🚗 Transport, 50.0
soymilk, 🍒 Food, 17.0
caifan lunch, 🍒 Food, 65.0
matcha latte, 🍒 Food, 40.0
oreo milkshake taobin, 🍒 Food, 55.0
green tea drink b4 work, 🍒 Food, 30.0
lunch, 🍒 Food, 50.0
matcha ice cream, 🍒 Food, 25.0
shopee-blender+cute top, 🛍️ Shopping, 274.0
bolt to vb place, 🚗 Transport, 76.0
grab back from hanging w vb people!!! i love yall sm <3, 🚗 Transport, 112.0
matcha+sandwich bfast, 🍒 Food, 89.0
lunch at foodcourt, 🍒 Food, 65.0
vb court rental, 🎉 Fun, 180.0
711 food after vb (-56), 🍒 Food, 44.0
bolt to asiatique, 🚗 Transport, 100.0
grab to tcis, 🚗 Transport, 146.0
bolt to suki teenoi after vb league, 🚗 Transport, 20.0
hotpot buffet , 🍒 Food, 329.0
bts fare, 🚗 Transport, 50.0
bike home, 🚗 Transport, 48.0
grab to alyssa hotel, 🚗 Transport, 79.0
water, 👻 Miscellaneous, 30.0
coconut snack, 🍒 Food, 60.0
photo booth, 🎉 Fun, 200.0
new shoes, 🛍️ Shopping, 2800.0
grab home from aly hotel, 🚗 Transport, 89.0
coffee, 🍒 Food, 45.0
contacts, 👻 Miscellaneous, 950.0
uniqlo red camisole, 🛍️ Shopping, 190.0
five star snack, 🍒 Food, 20.0
groceries-banana+milk+salad, 🏫 Groceries, 91.0
food court lunch, 🍒 Food, 65.0
yogurt, 🏫 Groceries, 52.0
check, 👻 Miscellaneous, 0.0
check, 👻 Miscellaneous, 0.0
lunch @ set, 🍒 Food, 49.0
fruits, 🍒 Food, 25.0
sausage+random snack, 🍒 Food, 32.0
spinach drink [sweet af wth], 🍒 Food, 25.0
groceries-egg+soymilk+oats+frozen spinach, 🏫 Groceries, 309.0
chim chum dinner, 🍒 Food, 174.0
pandadn custard bread snack, 🍒 Food, 30.0
lunch @ true, 🍒 Food, 40.0
free nam kheng sai (thank you p'tonkao! <3), 🍒 Food, 0.0
sausage+fishball snack, 🍒 Food, 30.0
bolt to b pro, 🚗 Transport, 89.0
thurs vb! i love you guys <3, 🎉 Fun, 185.0
grab back home from vb w ryan 😶, 🚗 Transport, 109.0
lunch @ big c, 🍒 Food, 65.0
nahm keng sai, 🍒 Food, 50.0
coffee b4 work, 🍒 Food, 25.0
bts fare to vb, 🚗 Transport, 35.0
vb! i love u , 🎉 Fun, 192.0
bike home, 🚗 Transport, 69.0
bike to marathon stadium, 🚗 Transport, 82.0
bts fare to potluck, 🚗 Transport, 45.0
pizza for potluck, 🍒 Food, 269.0
grab back from potluck, 🚗 Transport, 168.0
grab to marathon, 🚗 Transport, 66.0
pen, 👻 Miscellaneous, 10.0
oreo milkshake, 🍒 Food, 85.0
water, 🍒 Food, 10.0
grab back home, 🚗 Transport, 71.0
wanton noodles, 🍒 Food, 50.0
coffee, 🍒 Food, 40.0
711 run-banana+tissue paper, 🏫 Groceries, 36.0
garmin pics, 👻 Miscellaneous, 535.0
lunch @ coco ichibanya, 🍒 Food, 243.0
lotus run-baking soda+vinegar+sesame oil+tomato, 🏫 Groceries, 115.0
mu ping, 🍒 Food, 24.0
oreo+milk snack, 🍒 Food, 50.0
coffee b4 work, 🍒 Food, 20.0
yentafo for lunch, 🍒 Food, 79.0
ice cream dessert, 🍒 Food, 20.0
sushi hiro buffet, 🍒 Food, 940.0
haircut, 👻 Miscellaneous, 1100.0
matcha latte, 🍒 Food, 100.0
check, 👻 Miscellaneous, 0.0
check, 👻 Miscellaneous, 0.0
grab to asiatique, 🚗 Transport, 96.0
coasters, 🛍️ Shopping, 280.0
big c run w ryan-wine+chips+nutella, 🎉 Fun, 454.0
grab back home, 🚗 Transport, 169.0
coffee before work, 🍒 Food, 45.0
lunch @ food court, 🍒 Food, 55.0
bellinees coffee, 🍒 Food, 75.0
grab to vb, 🚗 Transport, 218.0
vb rental, 🎉 Fun, 185.0
grab back home from yaowarat, 🚗 Transport, 160.0
lunch at big c, 🍒 Food, 60.0
arigato drink + donut, 🍒 Food, 39.0
grab to lee's condo, 🚗 Transport, 100.0
correct grab to lee's condo, 🚗 Transport, 43.0
dominos pizza, 🎉 Fun, 565.0
grab back home, 🚗 Transport, 150.0
grab food lunch, 🍒 Food, 146.0
blended thai tea, 🍒 Food, 30.0
bolt to buddhas and pals, 🚗 Transport, 55.0
grab back home, 🚗 Transport, 145.0
ice coffee b4 vb, 🍒 Food, 25.0
bolt to ekkamai sch, 🚗 Transport, 68.0
vb rental, 🎉 Fun, 200.0
bolt back home from ate dada's condo!, 🚗 Transport, 80.0
chesters, 🍒 Food, 135.0
lighter, 👻 Miscellaneous, 20.0
lunch @ food court, 🍒 Food, 65.0
coffee+snack @ blufah, 🍒 Food, 100.0
pak nam market, 🎉 Fun, 220.0
beer @ jodds fair w my fav peeps, 🍒 Food, 200.0
americano b4 work, 🍒 Food, 50.0
lunch at kfc, 🍒 Food, 150.0
big c grocery 1-meds+inhaler, 🏫 Groceries, 175.0
big c groceries 2-coffee+tea+snacks+pear, 🏫 Groceries, 740.0
nailsssss, 👻 Miscellaneous, 500.0
lunch, 🍒 Food, 60.0
nam keng sai thank you p'tonkao <3, 🍒 Food, 0.0
ciggs, 🎉 Fun, 80.0
banana, 🍒 Food, 9.0
bellinees coffee, 🍒 Food, 40.0
bonchon chicken lunch! thank you p oue <3, 🍒 Food, 0.0
grab to cw, 🚗 Transport, 80.0
grab from cw, 🚗 Transport, 90.0

