grab from central rama to home, 🚗 Transport, 78.0
grab from central to home, 🚗 Transport, 78.0
train from airport , 🚗 Transport, 35.0
grab food , 🍒 Food, 222.0
grab from home to ari, 🚗 Transport, 58.0
nana coffee house, 🍒 Food, 275.0
train to siam, 🚗 Transport, 32.0
toiletries - soap+lotion, 👻 Miscellaneous, 351.0
train from siam to asok, 🚗 Transport, 32.0
watsons - candy+wet tissue, 👻 Miscellaneous, 82.0
contact lens, 👻 Miscellaneous, 600.0
strawberry matcha latte, 🍒 Food, 70.0
mother roaster coffee, 🍒 Food, 140.0
grab to marine dept, 🚗 Transport, 32.0
mrt top up, 🚗 Transport, 100.0
dinner, 🍒 Food, 74.0
popcorn, 🍒 Food, 150.0
americano, 🍒 Food, 50.0
grab from home to centralworld, 🚗 Transport, 62.0
grab home from cw, 🚗 Transport, 63.0
grab to work, 🚗 Transport, 27.0
check, 👻 Miscellaneous, 0.0
lunch, 🍒 Food, 65.0
bellinees 1 for 1, 🍒 Food, 40.0
karaoke w zj jean and mazi!, 🎉 Fun, 452.0
soymilk, 🍒 Food, 12.0
lunch, 🍒 Food, 65.0
dinner, 🍒 Food, 45.0
groceries-milk+chocobiscuit+crabrolls, 🏫 Groceries, 400.0
lunch @ true digital park, 🍒 Food, 50.0
bellinees drink, 🍒 Food, 50.0
phone cases, 🛍️ Shopping, 65.0
dope and dirty, 🎉 Fun, 1400.0
grab to dope and dirty, 🚗 Transport, 72.0
grab to thonburi train station, 🚗 Transport, 144.0
kburi-grab to z2, 🚗 Transport, 108.0
kburi-grab to lotus, 🚗 Transport, 46.0
kburi-grab to cave, 🚗 Transport, 116.0
kburi-grab to night market, 🚗 Transport, 72.0
kburi-grab to smiley restaurant, 🚗 Transport, 195.0
kburi-cancellation fee, 🚗 Transport, 31.0
kburi-grab to jodds fair, 🚗 Transport, 196.0
check, 👻 Miscellaneous, 0.0
coffee before work, 🍒 Food, 25.0
lunch@true-veggies+fish, 🍒 Food, 65.0
dessert@true, 🍒 Food, 20.0
dinner(fri), 🍒 Food, 50.0
coco w farah(fri), 🍒 Food, 80.0
grab to badminton, 🚗 Transport, 130.0
badminton rental, 🎉 Fun, 72.0
thai snacks, 🍒 Food, 40.0
dessert, 🍒 Food, 65.0
dinner+ferris wheel, 🍒 Food, 100.0
lunch, 🍒 Food, 65.0
bts fares to google event, 🚗 Transport, 50.0
coffee from terminal 21, 🍒 Food, 25.0
h&m shirt, 🛍️ Shopping, 360.0
groceries-strawberry+water+detergent, 🏫 Groceries, 310.0
chicken rice, 🍒 Food, 37.0
guava, 🍒 Food, 62.0
americano b4 work, 🍒 Food, 50.0
lunch, 🍒 Food, 65.0
shopee-skirt+shoes, 🛍️ Shopping, 391.0
