grab to embassy, 🚗 Transport, 24.8
visa apps, 👻 Miscellaneous, 100.0
dinner w ian, 🍒 Food, 50.0
water, 🏫 Groceries, 2.7
grab home, 🚗 Transport, 27.5
grab from bugis to cq, 🚗 Transport, 9.0
dinner w wit :), 🍒 Food, 35.0
grab back home, 🚗 Transport, 38.0
georges , 🍒 Food, 25.0
ice cream, 🍒 Food, 1.2
water, 🏫 Groceries, 2.7
dinner w alyssa gang, 🍒 Food, 55.0
grab home, 🚗 Transport, 15.0
lunch w sufi n nisa, 🍒 Food, 21.0
dessert, 🍒 Food, 11.0
matcha drink, 🍒 Food, 7.0
teh tarik, 🍒 Food, 3.5
shirt, 🛍️ Shopping, 10.2
edmund macs, 🍒 Food, 10.0
mala, 🍒 Food, 6.8
drinks+grab to cq, 🎉 Fun, 17.0
grab home, 🚗 Transport, 38.0
teh peng, 🍒 Food, 2.9
postcard, 🍒 Food, 4.9
groceries, 🏫 Groceries, 30.0
ice cream, 🍒 Food, 1.0
yakun, 🏫 Groceries, 12.0
coconut drink, 🍒 Food, 6.0
koi, 🍒 Food, 7.0
snacks, 🍒 Food, 5.0
wang wang, 🏫 Groceries, 3.0
bengawan love letters, 🏫 Groceries, 25.0
grab to aly house, 🚗 Transport, 14.0
grab to airport , 🚗 Transport, 22.0
check, 🍒 Food, 0.0
